chr	position	GM06990_ABL1	GM06990_MLLT3
8	1	-0.046610519	-0.181629164
8	100001	0.256050886	0.462550726
8	200001	0.256050886	-0.181629164
8	300001	0.861373481	-0.50371923
8	400001	0.861373481	-0.50371923
8	500001	0.861373481	-0.50371923
8	600001	1.164034779	-0.50371923
8	700001	0.861373481	-0.50371923
8	800001	0.861373481	-0.181629164
8	900001	0.861373481	-0.825809256
8	1000001	0.558712183	-0.825809256
8	1100001	0.558712183	-1.147899242
8	1200001	0.861373481	-0.825809256
8	1300001	0.256050886	-0.50371923
8	1400001	0.256050886	-0.50371923
8	1500001	0.256050886	0.462550726
8	1600001	0.256050886	0.784640833
8	1700001	0.256050886	0.784640833
8	1800001	-0.046610519	0.462550726
8	1900001	-0.651933222	0.462550726
8	2000001	-0.651933222	0.784640833
8	2100001	-0.954594591	0.784640833
8	2200001	-1.257255924	0.784640833
8	2300001	-1.257255924	0.462550726
8	2400001	-0.954594591	0.462550726
8	2500001	-0.954594591	-0.50371923
8	2600001	-0.954594591	-0.825809256
8	2700001	-0.954594591	-0.825809256
8	2800001	-0.954594591	-0.825809256
8	2900001	-0.954594591	-0.181629164
8	3000001	-0.349271924	-0.181629164
8	3100001	-0.046610519	-0.50371923
8	3200001	-0.046610519	-0.50371923
8	3300001	-0.046610519	-0.50371923
8	3400001	-0.349271924	0.140460781
8	3500001	-0.046610519	0.140460781
8	3600001	-0.349271924	0.462550726
8	3700001	-0.349271924	1.106730859
8	3800001	-0.349271924	1.428820966
8	3900001	-0.349271924	0.784640833
8	4000001	-0.349271924	1.106730859
8	4100001	-0.349271924	1.106730859
8	4200001	0.256050886	1.106730859
8	4300001	0.256050886	1.106730859
8	4400001	0.256050886	1.106730859
8	4500001	-0.046610519	1.106730859
8	4600001	-0.046610519	0.784640833
8	4700001	0.256050886	0.140460781
8	4800001	0.256050886	-0.181629164
8	4900001	0.256050886	-0.181629164
8	5000001	-0.046610519	-0.825809256
8	5100001	-0.349271924	-0.825809256
8	5200001	-0.954594591	-1.147899242
8	5300001	-0.954594591	-0.825809256
8	5400001	-0.954594591	-0.825809256
8	5500001	-0.651933222	-0.181629164
8	5600001	-0.651933222	0.140460781
8	5700001	-0.954594591	0.140460781
8	5800001	-0.349271924	0.462550726
